Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_0_Slot1-44_1_15010.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_0_Slot1-44_1_15013.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_0_Slot1-44_2_15011.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_0_Slot1-44_2_15014.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_0_Slot1-44_3_15012.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_0_Slot1-44_3_15015.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_0p3_Slot1-43_1_15017.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_0p3_Slot1-43_2_15018.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_0p3_Slot1-43_3_15019.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_0p6_Slot1-42_1_15021.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_0p6_Slot1-42_2_15022.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_0p6_Slot1-42_3_15023.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_1_Slot1-41_1_15025.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_1_Slot1-41_2_15026.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_1_Slot1-41_3_15027.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_2_Slot1-40_1_15029.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_2_Slot1-40_2_15030.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_2_Slot1-40_3_15031.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_5_Slot1-39_1_15033.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_5_Slot1-39_2_15034.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_5_Slot1-39_3_15035.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_10_Slot1-38_1_15037.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_10_Slot1-38_2_15038.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_10_Slot1-38_3_15039.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_20_Slot1-37_1_15041.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_20_Slot1-37_2_15042.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_20_Slot1-37_3_15043.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_0p6_Slot1-45_1_15371.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_0p6_Slot1-45_2_15372.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_0p6_Slot1-45_3_15373.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_10_Slot1-46_1_15375.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_10_Slot1-46_1_15443.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_10_Slot1-46_2_15376.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_10_Slot1-46_2_15444.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_10_Slot1-46_3_15377.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_10_Slot1-46_3_15445.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_20_Slot1-47_1_15379.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_20_Slot1-47_1_15447.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_20_Slot1-47_2_15380.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_20_Slot1-47_2_15448.d
P05556	P05556	ITB1_HUMAN	ITGB1	Integrin beta-1	2409.2		1957.74	1753.09	1882.91	1822.7	1837.63	1507.16	1944.77		1951.89	1245.62	1239.29	2026.21	1525.34	1233.81	1571.74	1456.79										1767.89	2251.72	1536.43				4400.92						
P05771	P05771	KPCB_HUMAN	PRKCB	Protein kinase C beta type	7440.74	6498.42	6884.18	5656.65	7685.52	6087.71	8082.79	7535.22	7095.38	4495.13	7304.04	7196.1	5942.37	5426.73	5750.27	3796.04	4477.59	3893.82				7529.52		18713.1	8068.85	5709.6	10483.7	6851.73	6715.2	7019.73	6819.64	7894.74	12990.4	7391.82	12644.5	4900.15	10723.1	9398.99	8936.93	12684.8
P05771;P17252	P05771;P17252	KPCA_HUMAN;KPCB_HUMAN	PRKCA;PRKCB	Protein kinase C beta type	13661	10203.2	12638.9	12175.4	13420.6	12659.8	13558.5	13186.5	12359.9	13380.4	14026.3	12169	11006.5	12150.8	11066.1	6268.3	6715.15	6324.07				15645.9	11084.9	11326.6	11702.4	9360.89	13454.6	6203.14	9484.51	7542.16	24919	32065.7	19930	15451.3	11649.3	16026.6	15745.4	18849.3	15026.4	13715.1
P05783	P05783	K1C18_HUMAN	KRT18	Keratin, type I cytoskeletal 18	2447.12	1040.04	1065.89		1035.99	2162.61	1110.48	694.155	685.206				2091.07	2470.93	2345.13	2780.95				5039.6		5607.6		3553.96			3815.16	10305.5	4033.61	3432.1	37246.2	11111.6	22979.5	13500.1	33975.6	10310.2	4491.18	4779.74	8245.84	5627.3
P05787	P05787;CON_P05787;CON_H-INV:HIT000016045	K2C8_HUMAN	KRT8	Keratin, type II cytoskeletal 8	1791.41	1275.35	852.615	938.349	600.601	859.292	1187.43	1396.51	1499.56		205.197		5628.41	5301.9	5359.24		531.621											6307.59	2725.08	1787.57	17601.5		13145.6		17251.1		4238.26		2274.4	
P05787;P08729;P19013;Q6KB66	P05787;P08729;P14136;P19013;Q6KB66;CON_P19013;CON_Q6NXH9;CON_Q9DCV7;CON_P05787;CON_Q6KB66-1;CON_P08729;CON_Q3KNV1;CON_H-INV:HIT000292931	K2C4_HUMAN;K2C7_HUMAN;K2C80_HUMAN;K2C8_HUMAN	KRT4;KRT7;KRT8;KRT80	Keratin, type II cytoskeletal 8	2576.16		2465.95		1208.85							1947.77					24505.5		185109				122109																	247537
P05976;P08590	P05976;P08590	MYL1_HUMAN;MYL3_HUMAN	MYL1;MYL3	Myosin light chain 1/3, skeletal muscle isoform																												617.706										5648.32	3704.39	5343.23
P06126;P29016	P06126;P15812;P29016	CD1A_HUMAN;CD1B_HUMAN	CD1A;CD1B	T-cell surface glycoprotein CD1a	771.043	1107.03	802.253	1502.07	1137.73	522.187		578.865		409.2	583.731	430.095	575.934	634.842	658.679		508.42	324.046										653.235	1005.89	790.773										
P06132	P06132	DCUP_HUMAN	UROD	Uroporphyrinogen decarboxylase	27809.6	24117.3	24397.4	24142.3	29900.1	22924.7	29164.6	26623.1	27562.5	39053.3	38883	41585.9	38249.4	38173.6	40095.5	50007.5	48029.2	50184.3	92927.4	109458	106706	45030.1	22164.6	17383.6	12973.9	6326.52	5886.03	20597.1	24839.5	23860.7	7954.6	7734.56		22449.3		20748.5		8733.3	5760.62	10558.7
P06239	P06239	LCK_HUMAN	LCK	Tyrosine-protein kinase Lck	12065.5	10281.2	12417.8	11718.8	12234.1	12479.9	13632.2	13063.2	12534.7	10031.5	10306.8	9449.22	12704	12968.4	12800.4	11532	10745.3	10929.7	5159.33			7660.17	13803.9	13268.1	8508.34	8876.17	9052.58	11021.3	11279.4	11456.6	14752	8807.82		9281.74	8328.15	14705.7	8101.14	8820.59	10137.2	7374.13
P06280	P06280	AGAL_HUMAN	GLA	Alpha-galactosidase A	1338.12	1137.53	947.096	1377.9	1372.24	2454.65	821.367	1465.3	1393.79	1338.65	1116.37	1305.77	1139.72	1112.91	1497.75	1748.84	2188.96	2844.7	6372.28	6297.75	6510.94							1758.56	1966.13	1598.59	5737.57							936.439		
P06396	P06396;CON_Q3SX14	GELS_HUMAN	GSN	Gelsolin	7468.13	7458.55	6660.76	6632.21	7685.91	8139.91	7692.22	7997.68	7635.56	6773.17	6559.79	6575.67	6751.9	6064.69	7577.77	8499.04	9452.04	9124.93		5889.81		11892.9	9007.49	7205.52	4304.42	5279.71	7286.62	9693.62	9362.88	9676.67	13145.1	18349.9		7891.63		12038.7	7197.01	6028.16	9267.09	7765.72
P06400	P06400	RB_HUMAN	RB1	Retinoblastoma-associated protein	8502.5	7422.53	8395.76	7373.27	8484.5	7536.05	8021.32	8610.74	7590.6	6633.95	7112.68	7095.86	6747.86	6233.5	6269.55	5585.34	5092.37	4949.5				10538.4	17840.9	15435.4	11807.1	12644.1	11827.6	6180.15	6621.33	6177.41	11441.2	12627.8	13736.1	8472.8	16583.3	9698.61	8966.91	10214.9	10967.4	8420.99
P06454	P06454	PTMA_HUMAN	PTMA	Prothymosin alpha	81794.2	85905.5	82140.4	83963.9	91243.5	79556.6	144496	143420	149744	15584.4	12823.6	12510.6	189076	206006	209188	487375	455550	533777	1.03048e+07	1.22898e+07	1.10785e+07	337030	308921	286033	651575	633358	635806	950227	968465	909432	1.64242e+06	1.48998e+06	1.792e+06	1.51958e+06	1.60164e+06	1.72628e+06	1.20483e+06	930909	1.20359e+06	971538
P06493	P06493	CDK1_HUMAN	CDK1	Cyclin-dependent kinase 1	19307.3	18754.3	18954	17075.8	20661.2	18400.8	21992.1	20676.3	20991.2	17737.4	17711.3	16337.9	21600.2	20791	21490.7	14600.5	13078.3	13956.8				27750.5	17537.1	21437.3	17939.1	22026.7	19614.9	15456.6	18238.5	16274.2	21891.2	21649.4	32553.4	23661.3	21918.7	32974.5	28889.5	33336.1	27075.7	27847.9
P06493;P24941	P06493;P24941;Q00526	CDK1_HUMAN;CDK2_HUMAN	CDK1;CDK2	Cyclin-dependent kinase 1	15317.1	18765.5	15346.1	16927.4	16872.7	18654.7	22085	19716.2	19175.6	18598	21002.9	19013.4	18158.1	18367.3	20074	14858.5	14330.9	15895.7				34867.6	27126.1	34208.2	25895.1	29017.8	25857	16382	17796.4	17008.6	26142.2	27182.6	33963.3	22921.7	29654.7	21445.8	21188	21665.8	26553.6	25186.8
P06576	P06576	ATPB_HUMAN	ATP5F1B	ATP synthase subunit beta, mitochondrial	6991.45	6069.2	6319.82	6108.05	6220.07	6426.33	5403.22	5107.42	5495.27	5410.94	4816.68	4972.7	5561.81	5975.66	5907.22	4564.68	4998.43	4834.85	3490.39			10227.9		14416.9	5305.39	4740.76	9021.97	10382.5	6461.18	5454.86	19220.6	22611.8	12742.4	19838.5	16154.1	16716	12493.3	6743.73	10079.5	9041.54
P06702	P06702	S10A9_HUMAN	S100A9	Protein S100-A9				281.663							283.557	245.393			456.903	1274.08	661.592	1161.5	25128.3	22055.8	23492.2	3892.35						689.207							8473.36		5301.06	4864.5	7481.95	4502.8
P06730	P06730	IF4E_HUMAN	EIF4E	Eukaryotic translation initiation factor 4E	9153.72	9380.41	9696.26	8682.91	10182.1	8665.55	10942.7	10559.7	10812.6	4648.98	4498.35	2065.36	10632.8	11263.5	11373.1	12157.7	13043.2	12095.8		4973.59		13669.4	15238	10909.9	5458.96	3317.91	5473.25	12345.1	10615.9	13112.8	18430.9	11721	11248.7	9181.16	8377.17	9602.98	5792.39	6520.53	5668.15	6293.81
P06733	P06733	ENOA_HUMAN	ENO1	Alpha-enolase	870814	1.05339e+06	896049	968556	918863	982031	933755	921144	921607	929074	956913	1.03125e+06	1.02833e+06	1.07274e+06	1.00746e+06	1.18066e+06	1.18464e+06	1.1909e+06	1.23028e+06	1.2761e+06	1.17809e+06	534961	504415	490689	333144	340860	325073	809768	832171	820555	605732	477643	555223	445831	601283	508944	366904	339427	325942	320059
P06733;P09104	P06733;P09104;P13929	ENOA_HUMAN;ENOG_HUMAN	ENO1;ENO2	Alpha-enolase												353.178												4617.68					1020.23			115724		79220.4		68338.9		19812		19340.2
P06733;P09104;P13929	P06733;P09104;P13929	ENOA_HUMAN;ENOB_HUMAN;ENOG_HUMAN	ENO1;ENO2;ENO3	Alpha-enolase	45022.6	976922	43300.4	898754	39694.7	982953	24630.3	26631.4	23921.4	19681.1	18065.3	18213.5	159310	18214.6	17190.6	720860	622936	593585	651136	809814	615108	273638	285129	244324	508474	462396	443886	407564	422486	461487	550911	410077	490457	375527	535895	407135	286827	213259	199939	199304
P06737	P06737	PYGL_HUMAN	PYGL	Glycogen phosphorylase, liver form	1413.53	1116.48	1452.81	990.788	1021.4	1934.2	1420.34	1516.04	1434.1	1619.86	1254.58	1558.05	1584.29	1564.1	1620.41	1356.91	1200.64	1717.59					5763.09					1965.16	1694.05	1753.28		6257.65						3204.48		
P06737;P11216	P06737;P11216;P11217	PYGB_HUMAN;PYGL_HUMAN	PYGB;PYGL	Glycogen phosphorylase, liver form		2419.09		2780.14		2423.32			944.295	1006.09		825.174				1245.88		1801.72				6545.64			6558.61	7116.94	6554.28		2806.42	2461.03	8217.43	5646.52				7285.32		4289.9	10303.9	6225.22
P06737;P11216;P11217	P06737;P11216;P11217	PYGB_HUMAN;PYGL_HUMAN;PYGM_HUMAN	PYGB;PYGL;PYGM	Glycogen phosphorylase, liver form	26615	29577.2	28713.1	29714.6	27227.3	26583	26259.7	26661.2	24632.2	26589.4	28625.2	26252.4	22657.3	24490.3	23300.6	29528.5	29332.8	30937.1				23536.9	28023.7	22558.1	24592.8	29335.3	22447.7	25208.1	28178	26401.7	24370	30791	27462.7	25761.3	24556.2	23452	26794.3	26836.2	21846.2	21512.3
P06744	P06744	G6PI_HUMAN	GPI	Glucose-6-phosphate isomerase	359854	367582	368179	345682	375753	348206	377435	368600	343796	370277	363411	367771	320637	321342	305555	280088	297791	274446	45171.1	51777.5	46511.7	160951	177920	134032	137218	125738	124085	306332	310507	313565	216539	181605	189593	172142	168317	164574	130878	139887	148067	134589
P06746	P06746	DPOLB_HUMAN	POLB	DNA polymerase beta	3314.04	2192.2	2557.75	2264.79	2646.18	2473.07	2846.52	2663.96	3408.97	4251.94	3687.21	4091.9	2007.83	2751.91	2204.03	3079.64	2195.99	2293.59										3090.2	3089.74	2899.99						5989.81				
P06748	P06748	NPM_HUMAN	NPM1	Nucleophosmin	15799.2	10056.7	15529.6	9223.8	14796.3	10770	13973.4	14277.6	12563.7	9866.69	8868.64	9403.57	14541.8	13048.3	14111	13111.2	10963	10878.4	3034.51		7108.34	11356.4	7617.99	10880.9	11145.5	16000.9	11601.6	7938.96	7812.34	7663.8	10905.9	8120.29	13831.7	12594.6	9506.81	9945.21	12181.6	12604.1	28285.1	11135.4
P06753	P06753	TPM3_HUMAN	TPM3	Tropomyosin alpha-3 chain	60695.6	175323	105256	149151	97247.8	136573	86074.6	77184.6	69995.7	112189	117921	107560	150111	143767	51641.2	144563	172242	123478	57602.8	36631.6	44752.8	68827.5	77652.2	63975.7	19694.2	18754	21465.1	153716	176761	143072	211942	150443	217887	183197	199599	177110	23774.2	28610.6	23968.2	22261.5
P06753;P09493;P67936	P06753;P07951;P09493;P67936;CON_Q3SX28	TPM1_HUMAN;TPM3_HUMAN;TPM4_HUMAN	TPM1;TPM3;TPM4	Tropomyosin alpha-3 chain	564063	533888	561578	590618	540850	521818	488763	503720	505045	695870	820383	898991	745712	918612	844027	489200	544510	537422	112778	126886	131331	199347	158965	132112	36827.6	41638.4	31593.5	447745	430564	500256	393618	394880	372633	332806	365126	355750	50326.2	76395.7	47759.4	39220
P06753;P67936	P06753;P67936	TPM3_HUMAN;TPM4_HUMAN	TPM3;TPM4	Tropomyosin alpha-3 chain	26105.2	30495.1	25861.6	32621.4	26386.1	26616.8	2921.75	7346.51	11354.8	3829.95	2793.52	1148.54	20134.9	21484.5	21061.5	35145.7	39034.4	37211.3		7000.46	6583.98	7209.8	10101.3				1026.96	25236.1	30723.7	31889.9	20331.1	7410.01	17457.3	14488.5	13898.1	24516		1733.85		1437.94
P06865	P06865	HEXA_HUMAN	HEXA	Beta-hexosaminidase subunit alpha	7187.29	7480.28	7204.05	7318.6	7120.61	7519.84	5881.27	5842.14	5824.79	7084.69	7100.06	6615.91	7717.12	7921.6	7779.15	12425.5	12701.8	13263.3	32290.1	30772.9	32429.7	11413.6	5905.62	6637.36	5743.49	10418.4	8508.14	8225.48	9151.85	8068.81	11173.2	10922.1	15408.9	14627.8	19622.3	16271.7		4152.04		6157.9
P06899;P23527;P33778;Q16778;Q8N257	P06899;P23527;P33778;Q16778;Q6DN03;Q6DRA6;Q8N257	H2B1B_HUMAN;H2B1J_HUMAN;H2B1O_HUMAN;H2B2E_HUMAN;H2B3B_HUMAN	H2BC11;H2BC17;H2BC21;H2BC26;H2BC3	Histone H2B type 1-J	34496.9	30970.8	29294.6	30644.7	33248	30287.9	48277.2	47887.2	45572.3	48150.7	49588.9	49070	37661.9	34429.3	33635.9	28658.4	30272.9	28323			8842.89	36655.7	29266.5	41463.5	11123.6	17235.6	6432.25	43329.6	41591.5	38758.4	45147	101616	30276.9	69234.6	50801.4	63411.4	16744.8	29442.6	14509.1	22653.7
P07108	P07108	ACBP_HUMAN	DBI	Acyl-CoA-binding protein	14623.3	14413.9	15894.4	14563.5	15388.9	14429.6	13131.5	13925.9	12214.1	19058.8	18837	17326.4	63767.6	64039.3	65159.6	54454.4	50492.6	50550	438570	483134	458929	9498.44	8463.18	17895.5	6155.03	6182.56	5069.96	36494.4	34744.6	38716.7	17076.1	5568.69		6167.41						
P07195	P07195	LDHB_HUMAN	LDHB	L-lactate dehydrogenase B chain	1.64661e+06	2.25898e+06	1.70981e+06	2.34033e+06	1.60023e+06	2.2496e+06	1.81834e+06	1.70099e+06	1.89587e+06	1.24121e+06	1.22e+06	1.25122e+06	1.48738e+06	1.53663e+06	1.43897e+06	2.44809e+06	2.43407e+06	2.32075e+06	1.84804e+06	1.8564e+06	1.96463e+06	688649	804040	671738	1.44212e+06	1.40462e+06	1.29212e+06	1.80001e+06	1.83538e+06	1.77079e+06	1.05e+06	762947	1.01098e+06	717720	896580	782768	799058	674760	680411	619118
P07203	P07203	GPX1_HUMAN	GPX1	Glutathione peroxidase 1	4963.97	5347.19	4908.37	5364.98	4992.82	6197.48	6198.89	5827.75	6141.47	3967.82	3745.37	3602.19	3646	4630.07	4530.43	11492.9	13081.1	11960.4	60056.6	52179.8	63460.2	2409.94						10689.2	10414.4	9528.17	9325.58	7898.3		8280.26		4899.52		2227.82		
P07205	P07205	PGK2_HUMAN	PGK2	Phosphoglycerate kinase 2	5482.73	3781.73	5230.1	5350.14	6439.56	5237.51	3061.4	3015.26	2987.08	5019.11	5176.77	5421.73	4507.18	3776.78	3872.11	7537.44	5744.07	7161.45	16197.6	7343.05	9241.98				9434.14	8880.13	7163	3105.26	3461.49	3488.71	8872.61	8743.36		8550.24	14890.1	10523.7		5622.06	8428.72	5656.1
P07237	P07237	PDIA1_HUMAN	P4HB	Protein disulfide-isomerase	79902.2	85676.5	80612.1	85972.2	81483.8	80486.5	90784.9	90329.2	88401.9	95759.8	99475.4	95556.7	132030	134191	130285	142593	145010	136390	19627.9	16101.7	16641.6	30163.3	29407.6	32349.8	26434.2	26636.2	24382.3	138816	144266	140249	49547.1	33828.2	43198.1	31583.7	31155.8	35515.2	28581.5	31169.3	29909	31991.4
P07305	P07305	H10_HUMAN	H1-0	Histone H1.0			828.674	895.731	557.319	1477.8	777.42	798.836	984.85				648.307	772.235	534.153													402.101				4517.87		4407.79		2642.62		644.777		1306.01
P07311	P07311	ACYP1_HUMAN	ACYP1	Acylphosphatase-1	20408.7	18848.9	18657.3	20236.9	15966.2	18584.3	16771.1	19492	18166.1	9787.94	10222.2	8258.13	15464.6	15718.6	15239.3	9914.86	10220.2	9667.91				10591.9	8501.37	7732.06	4128.55	2455.74	3513.42	14483.5	14954.7	15445.4	11455.2	8968.54	11070.4	10679.1	14392.2	7628.91	3812.57	3642.9	5131.26	4150.07
P07339	P07339	CATD_HUMAN	CTSD	Cathepsin D	24911.1	24999.4	25489.5	23369.6	24701.4	24570.3	23390.2	24497.1	22350.8	20893.9	23446.5	22983.6	24855.8	22182.5	21040.7	19217.7	20655.6	19411.9	41868	35661.4	54595.8	25665.4	22580.9	18079.3	5896.5	8007.37	9316.56	22868.1	23518.3	19206.5	29554.8	28257.8	34118.2	27997	42380.5	37093	16497.9	13784.1	15081.5	14372
P07355	A6NMY6;P07355	ANXA2_HUMAN	ANXA2	Annexin A2	10742.5	9248.64	10528.3	10647.9	9791.57	9908.79	9542.34	8928.27	8778.06	8819.29	9217.55	9077.04	10390.5	9912.4	9713.68	8572.23	8458.17	8490.84	33136.6	36576.9	38328.4	53538.4	52000.4	49787.7	22275.7	20904.5	19483.5	17110.8	11489.2	10046.9	73380.7	94477.1	78105.2	78152	67581.3	81768.8	31596.1	37461.8	31217.1	34188.4
P07384	P07384	CAN1_HUMAN	CAPN1	Calpain-1 catalytic subunit	13796.7	15282.3	13993.4	14813	13945.7	15155.7	13826.8	13976.8	14454.6	13219	14370.5	14127.7	13253.6	13513.6	12890	14152.4	13649.6	13722.9	13450	13067	10274.8	39918	37012.6	36025.2	41989	33121	39250.3	14997.1	12826.8	16353.4	38530.1	55458.5	48082.6	51227.8	58473.2	44767.6	44383.3	38920.4	34910.8	38476.8
P07437	P07437	TBB5_HUMAN	TUBB	Tubulin beta chain	722066	718034	688723	682228	701359	655111	705080	650566	661015	764432	592660	760530	671916	632070	653633	479035	413782	392337	56205.4	32717.8	26822	567309	683248	482340	732518	725247	626245	396881	399956	392360	660109	662816	585067	557559	600225	626064	815995	621392	661157	609924
P07437;P68371;Q13509;Q13885;Q9BVA1	P07437;P68371;Q13509;Q13885;Q9BVA1	TBB2A_HUMAN;TBB2B_HUMAN;TBB3_HUMAN;TBB4B_HUMAN;TBB5_HUMAN	TUBB;TUBB2A;TUBB2B;TUBB3;TUBB4B	Tubulin beta chain	4816.98	6697.74	6349.32	3904.89	5880.09	6406.03	6348.85	6811.5	7015.88	7834.59	7554.63	8753.64	11217.6	10916.3	9984.13	8527.42	7144.18	6202.56			2587.35	32088.4	36387.7	37226	8893	12017.8	9939.79	3680.72	4798.5	3347.02	3510.73	13065		9571.48		6074.94		5616.08		7691.4
P07437;P68371;Q13885;Q9BVA1	A6NNZ2;P07437;P68371;Q13885;Q3ZCM7;Q9BVA1;Q9H4B7;CON_ENSEMBL:ENSBTAP00000025008	TBB2A_HUMAN;TBB2B_HUMAN;TBB4B_HUMAN;TBB5_HUMAN	TUBB;TUBB2A;TUBB2B;TUBB4B	Tubulin beta chain	415164	464220	411988	462594	401289	428935	373902	388252	381740	199879	189106	166870	315404	325839	325686	292302	296775	293325		7815.62	11091.5	449799	440095	467811	577549	596585	602371	381334	402791	387566	507131	432262	437800	420778	472964	479110	609848	573386	598876	541248
P07437;Q13509;Q13885	P07437;Q13509;Q13885;Q9BVA1	TBB2A_HUMAN;TBB3_HUMAN;TBB5_HUMAN	TUBB;TUBB2A;TUBB3	Tubulin beta chain	2132.88	1902.39	2436.86	1718.29	1545.48		762.584	759.384		532.435		387.033			406.83																									
P07437;Q13509;Q13885;Q9BVA1	P07437;Q13509;Q13885;Q9BVA1	TBB2A_HUMAN;TBB2B_HUMAN;TBB3_HUMAN;TBB5_HUMAN	TUBB;TUBB2A;TUBB2B;TUBB3	Tubulin beta chain	634810	677408	635178	697055	633749	632023	664739	659109	645889	721855	728842	751918	565897	529888	540157	641019	617410	613536	83429.6	65061.6	62727.2	905928	926121	831281	1.09212e+06	1.12122e+06	1.01298e+06	418728	423773	433521	590419	694978	544678	628426	558623	683543	780102	818001	711722	775426
P07602	P07602	SAP_HUMAN	PSAP	Prosaposin																		2084.26		6037.58	5428.23							2054.15	1562.26	1547.66										
P07686	P07686	HEXB_HUMAN	HEXB	Beta-hexosaminidase subunit beta	8713.66	9234.29	7839.77	8344.82	8072.83	9485.97	8530.52	8187.91	9527.43	7395.13	7369.22	7274.98	8296.5	8335.52	8174.58	13768.8	13290.9	13903.8	60956.1	62925.2	71537.8	19898.7	13264.8	17493.2	7116.44	11138.8	8413.76	9797.05	9425.44	10345.9	27768	28128.1	39072.5	32471.4	47734.6	36683.6		16059.9		7231.42
P07737	P07737	PROF1_HUMAN	PFN1	Profilin-1	1.06326e+06	1.42211e+06	1.06045e+06	1.51594e+06	1.11491e+06	1.49508e+06	1.31111e+06	1.18558e+06	1.27974e+06	1.02172e+06	1.23169e+06	1.15648e+06	1.32047e+06	1.28931e+06	1.30233e+06	2.10036e+06	1.82867e+06	1.8845e+06	990046	759597	754057	485826	510242	506077	123250	126492	163002	932823	929312	959802	572983	408131	599568	420367	489967	368085	135444	96828.6	133340	89655.1
P07738	P07738	PMGE_HUMAN	BPGM	Bisphosphoglycerate mutase	5252.96	5007.12	5908.19	4816.65	5626.91	4683.5	4679.53	4952.56	4837.49	4763.88	6029.38	5647.81	4621.23	5454.96	5681.91	5843.1	5843.11	6138.54				4491.41						5729.58	5235.91	5378.72	5712.53									
P07741	P07741	APT_HUMAN	APRT	Adenine phosphoribosyltransferase	459726	355841	479207	369926	473097	311863	459025	472043	465799	478750	427990	411147	694924	702501	664245	937678	924442	931617	4.51946e+06	5.94939e+06	5.97348e+06	190268	243687	264146	132892	154870	133594	369663	394066	373959	180751	140651	154944	102318	131316	109082	113723	119881	121228	105394
P07814	P07814	SYEP_HUMAN	EPRS1	Bifunctional glutamate/proline--tRNA ligase	63049.3	62566.7	62861.1	61509.8	62754.2	61795	58524.7	59730.5	59188.1	47735.5	46287.5	45157.8	61304	61750.3	59908.8	64058.5	63413.4	61857.7	11639.5	9901.16	8264.79	54746.9	50756.8	50315	55710.3	54116.4	49990.8	62839.9	60702.7	59851.1	58688.2	56125	67249.6	53918.1	56607	56250.9	59780.1	59127.6	59729.7	54269.8
P07858	P07858	CATB_HUMAN	CTSB	Cathepsin B	1462.8		1252.78		1369.56		742.09	1286.22	806.828				2184.09	2307.71	2010.91	1680.53	1983.49	1955.51										1444.21		748.943										
P07900	P07900	HS90A_HUMAN	HSP90AA1	Heat shock protein HSP 90-alpha	807590	895237	862655	911573	837052	817340	921421	938632	916783	660248	735742	847843	868939	852263	866244	986692	1.03423e+06	1.00741e+06	133288	84955.4	80781.2	550193	544471	485944	629728	616423	543746	725985	763345	715644	748707	592966	678976	537235	697022	575354	782910	608332	674929	594614
P07900;P08238	P07900;P08238	HS90A_HUMAN;HS90B_HUMAN	HSP90AA1;HSP90AB1	Heat shock protein HSP 90-alpha	260979	190570	269580	296782	253413	200282	115188	143887	163843	191494	200063	172200	662154	669435	628225	258937	248483	221159	47611.2		31247	259947	263769	309556	310606	298394	230736		414386		936420	915885	978322	808852	944209	807247	9.17061e+06	7.47045e+06	908249	878858
P07900;P08238;Q14568	P07900;P08238;Q14568	HS902_HUMAN;HS90A_HUMAN;HS90B_HUMAN	HSP90AA1;HSP90AA2P;HSP90AB1	Heat shock protein HSP 90-alpha	18804.1	32981.9	29739.1	30069.8	26265.2	21841.5	17571.1	19002	18138	20450.3	13012.2	21861.2	22456.5	29490	28361.5	20624	21525.4	21158.7	29161.1	14922.1	22704.9	14138.1	11826.5	9583.49	15921.8	13642.1	17717.3	3931.98	5625.15	5812.27						8880.03				
